driverId,name,ssn,location,certified,wage-plan
10,Cynthia Lewis,790-16-6832,"212 Jason Stream Port Andrew, AL 18426",Y,miles
11,Mr. Ryan Mcguire,820-93-1643,"56310 Ashley Mountains Lynnstad, KS 62417",Y,hours
12,Ashley Gomez,337-72-6509,"744 Jessica Corner Suite 516 East Sara, AS 04927",N,hours
13,Anthony Jacobs,252-95-0243,"PSC 3331, Box 0245 APO AE 11811",N,miles
14,Brianna Ballard,629-20-8463,"312 Morgan Port Apt. 027 Reidview, WI 39486",N,hours
15,Justin Carson,291-42-9131,"5898 Garrett Forest Apt. 215 Susanfurt, ME 19441",Y,hours
16,Tony Werner,354-57-4552,"94051 Rice Extension Suite 927 Sarahtown, RI 45482",Y,hours
17,Amanda Roman,443-93-4289,"1986 Lara Ramp Suite 771 South Susanshire, KS 66203",Y,hours
18,Tony Terrell,161-92-9853,"4071 Michael Unions Apt. 567 South Darryl, PR 97484",Y,miles
19,Danielle Moss,620-54-6727,"60366 Brent Fort Apt. 436 South Stephanie, KY 49323",N,hours
20,Russell Nguyen,802-24-4113,"206 Jennings Fields South Timothyville, PW 38610",Y,miles
21,Hannah Decker,345-62-3614,"33893 Brown Course Apt. 622 Craigborough, OK 92559",N,miles
22,Jackie Stein,596-32-3902,"708 Rebecca Harbors Suite 008 Ericmouth, LA 11673",Y,hours
23,Earl Campos,876-75-1969,"5668 Dunn Viaduct Apt. 076 Montoyaville, WV 16527",N,hours
24,Ruben Jackson,614-13-1975,"3455 Craig Corners Suite 745 West Elizabethport, ID 40954",N,miles
25,John Cox,636-89-0136,"4308 Cline Pike Stokeschester, AR 24768",N,hours
26,Brian Williams,546-10-0245,"73147 Heather Fork Apt. 668 Danielburgh, WV 93743",Y,hours
27,Gregory Torres,576-39-7757,"10107 Arnold Roads South Isabellastad, OR 16585",Y,miles
28,Adam Harris,134-96-6447,"46972 Gilbert Roads Apt. 629 Ramirezfurt, PR 25855",Y,hours
29,Michael Webb,511-93-1235,"38695 Eaton Key Suite 556 North Christopher, HI 01048",Y,hours
30,Lindsay Rangel MD,463-59-0764,"78081 Hoffman Park Johnville, NY 29283",N,hours
31,Francisco Osborne,183-95-9514,"16761 Janet Fall Suite 462 North Loriview, IN 84714",N,miles
32,Melanie Baxter,652-60-8565,USNV Rosales FPO AE 33819,N,hours
33,Mckenzie Miller,880-22-9501,USS Turner FPO AE 58309,N,hours
34,Amy Escobar,647-66-9751,"76803 Chapman Square Jorgetown, UT 26932",N,hours
35,Kathryn Watson,669-38-4813,"024 Alicia Trail Suite 343 Micheletown, ME 91225",N,hours
36,Kara Brown DDS,405-26-5172,"6788 Cooper Orchard Suite 262 North Jonathanville, VA 77967",Y,miles
37,Elizabeth Petersen,136-41-7535,"85105 Watkins Corners Apt. 678 Curtisside, NJ 12672",N,hours
38,Ashley Hernandez,227-10-9989,"7047 Chapman Trafficway New Brooke, NH 52586",N,miles
39,Angela Summers,652-88-1735,"563 Barajas Village Apt. 579 Blairfurt, NM 76505",Y,miles
40,Peter Martinez,789-29-6512,"9392 Russell Pines Apt. 202 Ayalahaven, WY 95738",Y,hours
41,Kathryn Gonzalez,889-07-6754,"03472 Campbell Landing Apt. 222 West Amandafurt, ND 52334",Y,miles
42,Kathleen Thomas,800-79-9725,"PSC 1686, Box 1832 APO AA 35638",Y,hours
43,Stephanie Johnson MD,091-66-1884,"9978 John Divide Brandonmouth, OK 80189",N,miles
44,Damon Jacobs,524-95-7945,"18494 Ferguson Unions Lake Aprilshire, IA 12607",Y,miles
45,Thomas Bishop,748-19-8694,"648 Branch Parkways Suite 665 Wilsonland, FL 19749",Y,hours
46,Monica Arias,122-90-9984,"43826 Oneal Curve Maystown, GU 51024",Y,miles
47,Chad Medina,535-56-5540,"792 Wilson Greens Apt. 933 Lake Christian, AZ 44838",N,miles
48,Renee Mayer,754-66-0035,"790 Lisa Radial Apt. 561 Catherineport, CA 08731",N,hours
49,Keith Mason,830-58-4725,"3840 Christina Burg Port Crystalton, NY 70554",Y,miles
50,Bryan Rodriguez,228-43-0140,"604 Cohen Cliff Apt. 006 East Jenniferfurt, AZ 11733",N,hours
51,Anthony Dorsey,080-83-7826,"205 Jeffery Lights Apt. 693 Kathleenton, MO 73805",N,miles
52,Jamie Castillo,015-07-3254,"6176 Alyssa Centers Suite 354 Ryanbury, ME 81348",N,hours
53,Christina Shaw,648-65-6677,Unit 3104 Box 6773 DPO AP 12341,Y,miles
54,Sharon Johnson,841-68-6255,"6073 Tyler Rapid Suite 829 Lake Jennifer, GU 10957",N,hours
55,William Byrd,432-11-1898,"107 Thomas Crest Foxfurt, TX 23090",Y,hours
56,Pamela Parker,371-91-3746,"121 Diana Mission Port Barrystad, DC 83200",N,hours
57,Blake Perez,846-47-3185,"384 Wilson Ridges Nelsonville, ME 18715",Y,miles
58,Charles Huffman,252-60-5532,"965 Arthur Well Apt. 813 Port Sarahhaven, GA 18295",N,hours
59,Andrew Jackson,898-58-7047,"27005 Craig Groves Suite 462 Ricardoview, AR 29813",Y,hours
